Question,Question,Answer
182,"Which legendary musician is known for hits like ""Purple Haze"" and ""Hey Joe""?",Jimi Hendrix
183,"What is the name of the American singer-songwriter who released the album ""Back to Black"" in 2006?",Amy Winehouse
184,What is the largest species of eagle?,Steller's Sea Eagle
185,"Who painted the famous artwork ""The Starry Night""?",Vincent van Gogh
186,What is the capital city of Canada?,Ottawa
187,What TV show follows the life of a New Jersey mob boss and his family?,The Sopranos
188,What is the official height of a basketball hoop in professional play?,10 feet
189,What is the largest part of the brain?,Cerebrum
190,Calculate: 2 + 2 + 2 + 2 + 2,10
191,Who was the first President of the United States?,George Washington
192,What is the title of Beyoncé's debut solo album released in 2003?,"""Dangerously in Love"""
193,Which creature is known for its ability to spit venom?,Spitting Cobra
194,"Who says, ""Don't watch the clock; do what it does. Keep going""?",Sam Levenson
195,What is the chemical symbol for iron?,"Fe, Iron"
196,Calculate: 1 + 1 - 1 + 1 - 1 + 1,2
197,Who is the current President of the United States?,Joe Biden
198,What is the title of Adele's second studio album?,"""21"""
199,What is the capital city of China?,Beijing
200,Which film franchise features the character Captain Jack Sparrow?,Pirates of the Caribbean
201,Which movie is about a young boy who is accidentally left behind by his family during Christmas?,Home Alone
202,What is the branch of science that deals with the study of matter and its properties?,Chemistry
203,"Who is the author of the ""Twilight"" book series?",Stephenie Meyer
204,Which mammal lays eggs?,Platypus
205,What is the process of converting a gas into a liquid called?,Condensation
206,What is the title of the debut studio album by Ariana Grande released in 2013?,"""Yours Truly"""
207,What is the national flower of the United States?,Rose
208,Who is the inventor of the printing press?,Johannes Gutenberg
209,In which sport would you find a pommel horse?,Gymnastics
210,"Who is considered the ""Father of Modern Chemistry""?",Antoine Lavoisier
211,Who played the character Harry Potter in the film series?,Daniel Radcliffe
212,"Who played the character Luke Skywalker in the ""Star Wars"" franchise?",Mark Hamill
213,Which movie is about a young woman who disguises herself as a man to join the army?,Mulan
214,What is the chemical symbol for helium?,"He, Helium"
215,Which game series allows players to assume the role of a Dragonborn?,The Elder Scrolls V: Skyrim
216,"Which Canadian city is home to the CN Tower, one of the tallest freestanding structures in the world?",Toronto
217,What is the atomic number of carbon?,6
218,What is the unit of electrical resistance?,Ohm
219,Which animal is known for its ability to produce silk?,Spider
220,What TV show is about a group of inmates in a women's prison?,Orange is the New Black
221,"Which game franchise is known for its iconic ""Creeper"" enemy?",Minecraft
222,Which Canadian city is famous for its historic Citadel and the Anne of Green Gables novel?,Charlottetown
223,Which country is known for the Pyramids of Giza?,Egypt
224,What is the longest river in the United States?,Mississippi River
225,"Which country is known for the famous landmark, the Colosseum?",Italy
226,What is the title of the debut studio album by Taylor Swift released in 2006?,"""Taylor Swift"""
227,What is the highest mountain in Canada?,Mount Logan
228,What is the largest organ in the human body?,Skin
229,"Who directed the film ""Pulp Fiction""?",Quentin Tarantino
230,Who is the Greek god of thunder?,Zeus
231,Which continent is home to the Amazon Rainforest?,South America
232,What is the organ that stores bile produced by the liver?,Gallbladder
233,Who was the President of the United States during the Vietnam War?,Lyndon B. Johnson
234,"What is the name of the Canadian rapper known for the song ""God's Plan""?",Drake
235,Who wrote the play Romeo and Juliet?,William Shakespeare
236,Which U.S. state is known for its iconic Hollywood sign and movie industry?,California
237,"Which U.S. state is known as the ""Garden State""?",New Jersey
238,"What is the traditional Japanese soybean dish, often served as a snack or appetizer?",Edamame
239,What major global climate summit took place in Glasgow in 2021?,COP26
240,"Which sport is associated with the term ""slam dunk""?",Basketball
241,How many sides does a square have?,4
242,Which game series features a character named Commander Shepard?,Mass Effect
243,What is the fastest marine animal?,Sailfish
244,"What is the title of the theme song for the film ""The Lion King""?","""Circle of Life"""
245,What is the capital city of Spain?,Madrid
246,Who is the current Secretary-General of the United Nations?,António Guterres
247,"Who says, ""You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose""?",Dr. Seuss
248,Which animated film features the characters Woody and Buzz Lightyear?,Toy Story
249,How many teeth does an adult human usually have?,32
250,Which animal is the symbol of peace?,Dove
251,"Which band released the hit song ""Bohemian Rhapsody""?",Queen
252,"Who is the author of the book ""Pride and Prejudice""?",Jane Austen
253,Which bird is famous for its ability to swim underwater?,Penguin
254,Calculate 4 + 4 - 4 + 4 - 4,4
255,Which vegetable is used to make pickles?,Cucumber
256,What movie is based on a true story about a mathematician who breaks the Enigma code during World War II?,The Imitation Game
257,What is the result of 9 - 3 + 1?,7
258,Who is considered the greatest basketball player of all time?,Michael Jordan
259,What is the traditional Japanese dish of raw fish and rice?,Sushi
260,Who won the 2021 Nobel Prize in Physics?,"Syukuro Manabe, Klaus Hasselmann, Giorgio Parisi"
261,Who was the first woman to be appointed to the United States Supreme Court?,Sandra Day O'Connor
262,What is the traditional Japanese soybean paste used in many dishes?,Miso
263,"Who is known for the phrase, ""To infinity and beyond""?",Buzz Lightyear (Toy Story)
264,Which city hosted the 2020 Summer Olympics?,"Tokyo, Japan"
265,Who discovered the laws of planetary motion?,Johannes Kepler
266,Who won the Super Bowl in 2021?,Tampa Bay Buccaneers
267,"Which American singer is known for the hit single ""Wrecking Ball""?",Miley Cyrus
268,What is the chemical symbol for gold?,"Au, Gold"
269,Who is the all-time leading scorer in the history of the English Premier League?,Alan Shearer
270,"Who says, ""The only way to do great work is to love what you do""?",Steve Jobs
271,Who is known for proposing the laws of motion?,Isaac Newton
272,What movie features a group of high school students who discover a time-traveling DeLorean?,Back to the Future
273,What is the title of Madonna's best-selling studio album released in 1986?,"""True Blue"""
274,What is the main ingredient in coleslaw?,Shredded cabbage
275,"Which British band is known for the hit song ""Yellow""?",Coldplay
276,What is the hormone responsible for regulating blood sugar levels?,Insulin
277,Who won the FIFA Women's World Cup in 2019?,United States
278,Who is the fictional detective created by Arthur Conan Doyle?,Sherlock Holmes
279,What is the primary ingredient in guacamole?,Avocado
280,What is the outermost layer of the skin called?,Epidermis
281,Which game franchise features a protagonist named Ezio Auditore?,Assassin's Creed
282,"What is the traditional Indian yogurt-based drink, often flavored with fruit or spices?",Lassi
283,"Which U.S. state is known as the ""Lone Star State""?",Texas
284,Who won the NBA Finals in 2021?,Milwaukee Bucks
285,"Who is the main protagonist in the ""Harry Potter"" series?",Harry Potter
286,What is the national bird of Australia?,Emu
287,What is the process of converting a liquid into a gas called?,Vaporization
288,What is the branch of biology that studies the classification and naming of organisms?,Taxonomy
289,What is the tube that connects the mouth to the stomach?,Esophagus
290,"Which singer released the hit single ""Uptown Funk"" in 2014?",Mark Ronson
291,What is the title of the debut studio album by Bob Marley and the Wailers released in 1973?,"""Catch a Fire"""
292,Which creature is known for its ability to regrow its lost tail?,Salamander
293,Which game series features a character named Geralt of Rivia?,The Witcher
294,"What is the objective of the game ""Super Mario Bros.""?",Rescue Princess Peach
295,What is the smallest species of penguin?,Little Blue Penguin
296,What is the capital city of the United States?,"Washington, D.C."
297,What is the process of converting liquid into gas called?,Evaporation
298,What is the main character's name in The Legend of Zelda series?,Link
299,What is the largest species of penguin?,Emperor Penguin
300,Who was the 16th President of the United States?,Abraham Lincoln
301,"Who wrote the novel ""To Kill a Mockingbird""?",Harper Lee
302,"Which British band is known for the hit song ""Clocks""?",Coldplay
303,Which Canadian province is the largest by area?,Quebec
304,Who is the famous American inventor and businessman behind the Model T car?,Henry Ford
305,What is the chemical symbol for hydrogen?,"H, Hydrogen"
306,What is the technical term for the voice box?,Larynx
307,What is the liquid part of the blood called?,Plasma
308,"Which American rapper is known for the hit single ""Lose Yourself""?",Eminem
309,"Who directed the film ""Jurassic Park""?",Steven Spielberg
310,What is the method of brewing coffee that involves immersing coffee grounds in water for an extended period?,Cold brew
311,What is the popular Italian ice cream dessert served in a sweet bread roll?,Gelato
312,Which bird is known for its long neck and legs?,Crane
313,What is the study of the Earth's atmosphere called?,Meteorology
314,"Who is known as the ""Father of the Internet""?",Vint Cerf
315,"What is the traditional Mexican sauce made from chocolate, chili peppers, and various spices?",Mole
316,What is the official bird of the United States?,Bald Eagle
317,"Who said, ""The best revenge is massive success.""",Frank Sinatra
318,Which country is known for producing the most coffee?,Brazil
319,"What is the name of the American singer who released the album ""Born to Die""?",Lana Del Rey
320,Which social media platform was banned in India in 2021?,TikTok
321,Who is the Greek god of the sea?,Poseidon
322,What is the title of Taylor Swift's sixth studio album released in 2017?,"""Reputation"""
323,"Which American rapper released the albums ""The Marshall Mathers LP"" and ""The Eminem Show""?",Eminem
324,How many strings does a violin typically have?,4
325,What is the traditional filling of a calzone?,Cheese and tomato sauce
326,"What is the name of the Canadian singer who released the album ""Beauty Behind the Madness""?",The Weeknd
327,What is the chemical symbol for nitrogen?,"N, Nitrogen"
328,Which game franchise takes place in the fictional universe of Tamriel?,The Elder Scrolls
329,What is the highest-grossing film of all time?,Avengers: Endgame
330,What is the fastest bird in level flight?,Swift
331,Who was the President of the United States during the Cuban Missile Crisis?,John F. Kennedy
332,Which creature is known for its ability to glide through the air using skin flaps?,Flying Fox
333,Who won the Nobel Peace Prize in 2021?,Maria Ressa and Dmitry Muratov
334,"Who painted the famous artwork ""Guernica""?",Pablo Picasso
335,"Who released the hit single ""Shape of You"" in 2017?",Ed Sheeran
336,Who is the lead vocalist of the band Guns N' Roses?,Axl Rose
337,"Who said, ""You miss 100% of the shots you don't take""?",Wayne Gretzky
338,What is the largest city in the United States by population?,New York City
339,"In which sport is the term ""birdie"" commonly used?",Golf
340,Which film franchise features the characters Luke Skywalker and Darth Vader?,Star Wars
341,Which country recently launched the world's first hydrogen-powered passenger train?,Germany
342,"Who says, ""It always seems impossible until it's done""?",Nelson Mandela
343,"What is the creamy, frozen dessert made from dairy products and flavors?",Ice cream
344,What TV show is set in the 1980s and follows a group of kids investigating supernatural occurrences?,Stranger Things
345,"Who wrote the novel ""1984""?",George Orwell
346,"Who says, ""Life isn't about finding yourself. It's about creating yourself""?",George Bernard Shaw
347,What is the tallest mountain in North America?,Denali/Mount McKinley
348,What is the world's smallest mammal?,Bumblebee Bat
349,Which Canadian province is known for its stunning Cape Breton Island and the Cabot Trail?,Nova Scotia
350,Who is the lead guitarist of the rock band Aerosmith?,Joe Perry
351,What is the highest possible score in a gymnastics routine?,10
352,"Which game series features a character named Kratos, the Spartan warrior?",God of War
353,Who is the lead vocalist of the band The Rolling Stones?,Mick Jagger
354,Who is the creator of the Marvel superhero Spider-Man?,Stan Lee
355,"What is the title of the first book in J.K. Rowling's ""Harry Potter"" series?",Harry Potter and the Philosopher's Stone (or Sorcerer's Stone)
356,What is the traditional Japanese tea ceremony that involves the preparation and serving of matcha (powdered green tea)?,Chanoyu
357,Which game franchise features a protagonist named Lara Croft?,Tomb Raider
358,What is the traditional British dish of mashed potatoes and cooked cabbage or kale?,Colcannon
359,How many players are there on a soccer team?,Eleven
360,"Which American singer-songwriter is known for hits like ""All of Me"" and ""Ordinary People""?",John Legend
361,What is the capital city of Russia?,Moscow
362,"Which British band is known for the song ""Don't Stop Believin'""?",Journey
363,How many colors are there in a rainbow?,7
364,"Which British singer released the album ""25""?",Adele
365,What is the fermented cabbage dish that is a staple in Korean cuisine?,Kimchi
366,"Who is the creator of the TV series ""The Office""?",Ricky Gervais
367,Which country won the most gold medals in the 2020 Tokyo Olympics?,United States
368,Which animal is known for its ability to glide between trees?,Flying Squirrel
369,What is the name of the popular puzzle game developed by Alexey Pajitnov?,Tetris
370,How many strings does a standard guitar have?,6
371,What is the title of the debut studio album by Amy Winehouse released in 2003?,"""Frank"""
372,"Which animal is known as the ""king of the jungle""?",Lion
373,"What is the traditional Mexican dessert made of fried dough, dusted with sugar, and often served with chocolate sauce?",Churros
374,What is the smallest species of whale?,Dwarf Sperm Whale
375,"Who directed the film ""The Dark Knight""?",Christopher Nolan
376,Which planet is known for its beautiful and many rings?,Saturn
377,Which creature is known for its ability to emit light?,Firefly
378,Which sport is associated with the yellow jersey in the Tour de France?,Cycling
379,Who won the 2021 Nobel Prize in Physiology or Medicine?,David Julius and Ardem Patapoutian
380,Which animal is known for its humps and ability to store water?,Camel
381,"Which British singer-songwriter is known for the hit single ""Thinking Out Loud""?",Ed Sheeran
382,Who was the first Vice President and the second President of the United States?,John Adams
383,"Who won the Best Supporting Actress Oscar for her role in ""Boyhood""?",Patricia Arquette
384,"Who said, ""The journey of a thousand miles begins with a single step""?",Lao Tzu
385,Which creature is often considered a symbol of good luck?,Ladybug
386,What is the title of the debut single by Katy Perry released in 2008?,"""I Kissed a Girl"""
387,Which sport uses a shuttlecock?,Badminton
388,Calculate 5 - 2 + 1,4
389,"Who won the Best Actress Oscar for her role in ""Black Swan""?",Natalie Portman
390,What is the branch of biology that deals with the study of microorganisms?,Microbiology
391,"Who says, ""Success usually comes to those who are too busy to be looking for it""?",Henry David Thoreau
392,Which country hosted the 2018 FIFA World Cup?,Russia
393,Who wrote the Declaration of Independence?,Thomas Jefferson
394,Which bird is famous for its ability to hover in mid-air?,Hummingbird
395,What is the national sport of Canada?,Lacrosse
396,What is the largest island in Canada?,Baffin Island
397,"What is the traditional Mexican soup made from hominy and meat, typically pork?",Pozole
398,"Who is the author of the ""The Hunger Games"" book series?",Suzanne Collins
399,Which U.S. city is known for its historic Freedom Tower and Wall Street?,New York City
400,"Who played the character Katniss Everdeen in ""The Hunger Games"" films?",Jennifer Lawrence
401,"What is the Italian dessert consisting of layers of ladyfingers, mascarpone cheese, and coffee-flavored liqueur?",Tiramisu
402,"Which American singer is known as the ""Queen of Soul""?",Aretha Franklin
403,"What is the sweet, creamy filling inside a Boston cream pie?",Custard
404,Which country is known for the Acropolis?,Greece
405,Who won the Tour de France in 2021?,Tadej Pogačar
406,"Who said, ""The greatest enemy of knowledge is not ignorance, it is the illusion of knowledge""?",Stephen Hawking
407,What is the chemical symbol for potassium?,"K, Potassium"
408,What is the title of the debut studio album by Bob Dylan released in 1962?,"""Bob Dylan"""
409,What is the traditional Scottish dish made of oats and water or milk?,Porridge
410,Who is the current Chief Justice of the United States Supreme Court?,John Roberts
411,Who is the only President to serve more than two terms?,Franklin D. Roosevelt
412,"Which band released the hit song ""Stairway to Heaven""?",Led Zeppelin
413,In which game do players control a character named Aloy?,Horizon Zero Dawn
414,What is the Chinese stir-fried noodle dish typically made with soy sauce and various vegetables and meats?,Chow mein
415,What is 10% of 50?,5
416,What is the national animal of Canada?,Beaver
417,"Which actress starred in the film ""Black Widow""?",Scarlett Johansson
418,"Who is the author of ""The Great Gatsby""?",F. Scott Fitzgerald
419,What is the primary ingredient in paella?,Rice
420,What is the objective of the game Tetris?,Clear lines by arranging falling blocks
421,What is the process of splitting an atomic nucleus called?,Nuclear fission
422,"Who is the creator of the TV series ""Stranger Things""?",The Duffer Brothers
423,What is the national bird of Canada?,Common loon
424,Which city hosted the 2016 Summer Olympics?,Rio de Janeiro
425,Which creature is often associated with the Great Barrier Reef?,Clownfish
426,"What is the sweet, caramelized dessert made from condensed milk and sugar?",Dulce de leche
427,Which animal is known for its ability to play dead?,Opossum
428,What is the nickname of the United States flag?,Stars and Stripes
429,What is the world's smallest species of owl?,Elf Owl
430,In what TV show does a high school teacher secretly work as a vigilante?,Arrow
431,"Which U.S. state is known as the ""Land of 10,000 Lakes""?",Minnesota
432,In which game do players control a character named Arthur Morgan?,Red Dead Redemption 2
433,Which country recently became the first to officially recognize Bitcoin as legal tender?,El Salvador
434,What is the study of the human brain and its functions called?,Neuroscience
435,What movie follows the adventures of a clownfish searching for his son?,Finding Nemo
436,What is the official motto of Canada?,"""A Mari Usque Ad Mare"""
437,"What is the traditional Greek pastry filled with spinach, feta cheese, and herbs?",Spanakopita
438,What is the largest lake in Canada?,Great Bear Lake
439,"What is the classic American sandwich made with layers of turkey, bacon, lettuce, and tomato?","BLT (Bacon, Lettuce, and Tomato)"
440,"Which country is home to the tallest building in the world, Burj Khalifa?",United Arab Emirates
441,"Which singer released the album ""21"" in 2011?",Adele
442,What is the term for the foam on top of a freshly brewed espresso shot?,Crema
443,Which movie features a group of people who are trapped on a stranded train during a snowstorm?,Snowpiercer
444,Who was the President of the United States during the Korean War?,Harry S. Truman
445,What is the study of the function and structure of living organisms called?,Physiology
446,What is the title of the debut studio album by The Beatles released in 1963?,"""Please Please Me"""
447,What is the term for the release of carbon dioxide gas from freshly roasted coffee beans?,Degassing
448,Which country hosted the 2014 FIFA World Cup?,Brazil
449,What is the title of the debut studio album by Michael Jackson released in 1972?,"""Got to Be There"""
450,Who is the current Prime Minister of Canada?,Justin Trudeau
451,"What is the title of the theme song for the James Bond film ""Skyfall""?","""Skyfall"""
452,What is the longest river in Canada?,Mackenzie River
453,Which animal is known for its ability to spray a foul-smelling liquid?,Skunk
454,Who is the CEO of Tesla and SpaceX?,Elon Musk
455,Which bird is known for its ability to fly backward?,Hummingbird
